class_id,class_name,iou,precision,recall,f1_score,support_pixels
0,Background,0.38724446776304483,0.5694061407203627,0.5476054300073413,0.5582929931875446,38453355
1,Building,0.32682332291240596,0.4995580681563592,0.4859115151393475,0.49264025451527443,7674601
2,Road,0.31365172836335636,0.4950412766565262,0.4612086549115399,0.4775264079375798,4973777
3,Water,0.36223086097599244,0.41967057749787734,0.7257689156739071,0.5318200309934592,12473637
4,Barren,0.14798726419655536,0.4269012914206908,0.18467642325110956,0.2578203515219434,4648758
5,Forest,0.2884986016080054,0.35457876056921983,0.6075432247237217,0.44780579701415707,7851178
6,Agricultural,0.37825629174075204,0.68394043502013,0.4583803214192008,0.5488910312174897,30442114
